25 534
149 534
240 527
326 539
416 541
509 541
595 542
689 542
787 542
889 535
981 538
1078 540
1171 543
1261 539
1350 545
1447 546
1548 542
1641 537
1728 542
1810 544
1888 545
1963 548
2044 550
2134 551
2219 549
2308 548
2398 548
2498 547
2604 545
2706 536
2804 533
2896 530
2985 538
3077 541
3173 537
3274 540
3369 538
3458 532
3557 535
3648 528
3740 534
3831 539
3923 545
4014 549
4108 547
4194 548
4285 547
4362 546
4458 549
4550 548
4646 548
4738 549
4839 548
4925 547
5018 548
5115 549
5202 546
5306 547
5391 549
5487 550
5586 554
5679 553
